Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Question Text- v1,Revised Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Format/Value - r0,Revised Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,Question Type,IMS Review Notes
50,50,,,,,,,,,,,,,,,,,,519402449,77 = Race Unavailable/Unknown and Ethnicity Unavailable/Unknown,,,,,RcrtSI_HFHSRE_v1r0 equals 77 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 77,,,,,,
51,51,192505768,Recruitment,883203566,Sign in,,,,,,706256705,Site reported sex,,Site reported sex,RcrtSI_Sex_v1r0,,Num,1,536341288,0 = Female,,Yes,No,,,Recruitment Data Dictionary,Yes,No,2/2/22,,
52,52,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,
53,53,,,,,,,,,,,,,,,,,,830573274,2 = Intersex or other- Site Reported,,,,,,,,,,Note for Nicole to check in her email. Concept IDs in Module 1 and Master Dictionary are diff,
54,54,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,
55,55,192505768,Recruitment,883203566,Sign in,,,,,,435027713,Sanford and Henry Ford reported sex,,Sanford and Henry Ford reported sex,RcrtSI_SH_HFHS_Sex_v1r0,,Num,1,536341288,0 = Female,,For SH and HFHS,No,,,Recruitment Data Dictionary,Yes,No,,,
56,56,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,
57,57,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,
58,58,192505768,Recruitment,883203566,Sign in,,,,,,749475364,Eligibility algorithm version,,Eligibility algorithm version,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,Yes,No,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,
59,59,192505768,Recruitment,883203566,Sign in,,,,,,477091792,IHCS Membership Status,,IHCS Membership Status,RcrtSI_MemberStat_v1r0,,Num,1,939572698,0=Member of IHCS Health Plan,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,
60,60,,,,,,,,,,,,,,,,,,512786135,1=Non-Member IHCS Patient,,,,,,,,,,,
61,61,,,,,,,,,,,,,,,,,,582670006,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,
62,62,192505768,Recruitment,883203566,Sign in,,,,,,667474224,Campaign Type,,Campaign Type,RcrtSI_CampaignType_v1r0,,Num,1,926338735,0=Random,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,12/27/21,,
63,63,,,,,,,,,,,,,,,,,,348281054,1=Screening appointment,,,,"For passive recruits, 88 = None of the above, should be used when campaign type is not available.",,,,,,,
64,64,,,,,,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,
68,68,,,,,,,,,,,,,,,,,,682916147,6=Post-screening appointment,,,,,,,,,,,
69,69,,,,,,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,
70,70,,,,,,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,
71,71,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,
72,72,,,,,,,,,,,,,,,,,,398561594,88=None of these apply,,,,,,,,,,,
73,73,192505768,Recruitment,883203566,Sign in,,,,,,481139103,PIN/Token Workflow for HP,,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,910533468,0 = Letter without PIN,,Yes for HP,No,,,Recruitment Data Dictionary,Yes,No,,,
74,74,,,,,,,,,,,,,,,,,,456806539,1 = Letter with PIN,,,,,,,,,,,
75,75,192505768,Recruitment,883203566,Sign in,,,,,,158291096,Pre-consent Opt-out,,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,104430631,0=No,,No,No,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,,
76,76,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
77,77,192505768,Recruitment,883203566,Sign in,,,,,,697256759,Date/time for pre-consent opt-out,,Date/time for pre-consent opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,No,No,,,Master Data Dictionary,Yes,No,4/16/21,,
78,78,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,196038514,I am not interested,,Not interested,RcrtSI_OptOut_v1r0_inter,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,,
79,79,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
80,80,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,873405723,I am too busy to join,,Too busy/stressed to join,RcrtSI_OptOut_v1r0_busy,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
81,81,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
82,82,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,517101990,I am concerned about my privacy,,Concerned about Privacy,RcrtSI_OptOut_v1r0_priv,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also shows up for HdRef_Privacy_v1r0,
83,83,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
84,84,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,347614743,I have received too many contacts from the study,,Too many contacts from the study,RcrtSI_OptOut_v1r0_contacts,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
85,85,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
86,86,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,535928798,I am not able to complete the study activities online,,Not able to complete study activities online,RcrtSI_OptOut_v1r0_able,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_Online_v1r0,
87,87,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
88,88,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,897366187,I do not want to join the study for other reasons,,Other reason(s),RcrtSI_OptOut_v1r0_other,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
89,89,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
90,90,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,415693436,Please specify __________,,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
91,91,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,719451909,I do not think the research topic is important/I am not interested in the topic,,I do not think the research topic is important/I am not interested in the topic,RcrtSI_OptOut_v1r0_impt,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
92,92,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
93,93,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,377633816,I do not want to participate in research,,Does not want to participate in research,RcrtSI_OptOut_v1r0_partic,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
94,94,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
95,95,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,211023960,I do not want to be in a long-term study,,Does not want to be in a long-term study,RcrtSI_OptOut_v1r0_term,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
96,96,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
97,97,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,209509101,I think the study takes too much time/asks for too much,,I think the study takes too much time/asks for too much,RcrtSI_OptOut_v1r0_time,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
98,98,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
99,99,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,363026564,I do not want to give biological samples,,Does not want to give biospecimen samples,RcrtSI_OptOut_v1r0_samples,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
100,100,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
101,101,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,405352246,I think the payment or benefit to participate is not great enough,,Compensation to participate is not high enough,RcrtSI_OptOut_v1r0_comp,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
102,102,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
103,103,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,755545718,I do not think I am eligible,,Does not think they are eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
104,104,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
105,105,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,831137710,I am opposed to genetic testing,,I am opposed to genetic testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
106,106,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
107,107,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,496935183,I am too sick/my health is too poor to join,,Too sick/poor health to join,RcrtSI_OptOut_v1r0_health,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
108,108,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
109,109,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,121430614,I do not have reliable access to the internet/a device,,I do not have reliable access to the internet/a device,RcrtSI_OptOut_v1r0_access,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
110,110,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
111,111,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,836460125,I do not like to do things online,,Does not like to do things online,RcrtSI_OptOut_v1r0_online,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_DislikeOnline_v1r0,
112,112,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
113,113,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,163534562,I am worried the study might find out something concerning about me,,Worried the study might find something concerning about them,RcrtSI_OptOut_v1r0_concern,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
114,114,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
115,115,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,331787113,I do not want to provide information online,,I do not want to provide information online,RcrtSI_OptOut_v1r0_PrivacyA,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
116,116,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
117,117,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,705732561,I do not want to complete surveys,,I do not want to complete surveys,RcrtSI_OptOut_v1r0_PrivacyB,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
118,118,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
119,119,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,381509125,I do not want to provide access to medical history information or diagnoses,,I do not want to provide access to medical history information or diagnoses,RcrtSI_OptOut_v1r0_PrivacyC,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
120,120,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
121,121,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,497530905,I do not trust the government,,I do not trust the government,RcrtSI_OptOut_v1r0_PrivacyD,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_PrivacyB_v1r0,
122,122,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
123,123,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,627995442,I do not trust research/researchers,,I do not trust research/researchers,RcrtSI_OptOut_v1r0_PrivacyE,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Question text for HdRef_PrivacyC_v1r0,
124,124,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
125,125,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,208102461,I do not want my information shared with other researchers,,I do not want my information shared with other researchers,RcrtSI_OptOut_v1r0_PrivacyF,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/11/22,,
126,126,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
127,127,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,579618065,I am worried my information will not be secure or there will be a data breach,,I am worried my information will not be secure or there will be a data breach,RcrtSI_OptOut_v1r0_PrivacyG,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,
128,128,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
