Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
68,68,192505768,Recruitment,883203566,Sign in,,,,,,,158291096,Pre-consent Opt-out,,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,104430631,0=No,,No,No,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,Participants Table Not nested (state_d_158291096),,
69,69,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
70,70,192505768,Recruitment,883203566,Sign in,,,,,,,697256759,Date/time for pre-consent opt-out,,D/T Pre-consent Opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,No,No,This is autoset by the system,,Master Data Dictionary,Yes,No,3/20/23,Participants Table Not nested (state_d_697256759),,
71,71,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,196038514,I am not interested,,Not Interested,RcrtSI_OptOut_v1r0_inter,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_196038514,,
72,72,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
73,73,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,873405723,I am too busy to join,,Too busy/Stressed,RcrtSI_OptOut_v1r0_busy,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_873405723,,
74,74,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
75,75,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,517101990,I am concerned about my privacy,,Privacy Concerns,RcrtSI_OptOut_v1r0_priv,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_517101990,Question text also shows up for HdRef_Privacy_v1r0,
76,76,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
77,77,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,347614743,I have received too many contacts from the study,,Too Many Contacts,RcrtSI_OptOut_v1r0_contacts,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_347614743,,
78,78,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
79,79,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,535928798,I am not able to complete the study activities online,,Unable To Do Activites Online,RcrtSI_OptOut_v1r0_able,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_535928798,Question text also for HdRef_Online_v1r0,
80,80,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
81,81,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,897366187,I do not want to join the study for other reasons,,Oth,RcrtSI_OptOut_v1r0_other,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_897366187,,
82,82,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
83,83,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,415693436,Please specify __________,,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_415693436,,
84,84,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,719451909,I do not think the research topic is important/I am not interested in the topic,,Rsrch Topic Unimportant/Not Interested in Topic,RcrtSI_OptOut_v1r0_impt,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_719451909,,
85,85,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
86,86,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,377633816,I do not want to participate in research,,Not Interested In Rsch,RcrtSI_OptOut_v1r0_partic,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_377633816,,
87,87,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
88,88,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,211023960,I do not want to be in a long-term study,,Not Interested In Long-Term Study,RcrtSI_OptOut_v1r0_term,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_211023960,,
89,89,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
90,90,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,209509101,I think the study takes too much time/asks for too much,,Too Much Time/Asks For Too Much,RcrtSI_OptOut_v1r0_time,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_209509101,,
91,91,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
92,92,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,363026564,I do not want to give biological samples,,Not Interested In Giving Samples,RcrtSI_OptOut_v1r0_samples,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_363026564,,
93,93,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
94,94,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,405352246,I think the payment or benefit to participate is not great enough,,Compensation Too Low,RcrtSI_OptOut_v1r0_comp,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_405352246,,
95,95,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
96,96,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,755545718,I do not think I am eligible,,Think Not Eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_755545718,,
97,97,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
98,98,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,831137710,I am opposed to genetic testing,,Opposed To Gen Testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_831137710,,
99,99,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
100,100,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,496935183,I am too sick/my health is too poor to join,,Too Sick,RcrtSI_OptOut_v1r0_health,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_496935183,,
101,101,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
102,102,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,491099823,I do not have reliable access to the internet/a device,,Unreliable Internet/Device,RcrtSI_OptOut_v1r0_access,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/6/23,Participants Table Nested structure: state_d_706283025_d_491099823,,
103,103,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
104,104,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,836460125,I do not like to do things online,,Dislike Online Activities,RcrtSI_OptOut_v1r0_online,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_836460125,Question text also for HdRef_DislikeOnline_v1r0,
105,105,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
106,106,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,163534562,I am worried the study might find out something concerning about me,,Concerned Study Will Find Something Bad,RcrtSI_OptOut_v1r0_concern,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_163534562,,
107,107,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
108,108,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,331787113,I do not want to provide information online,,Against Giving Info Online,RcrtSI_OptOut_v1r0_PrivacyA,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_331787113,,
109,109,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
110,110,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,705732561,I do not want to complete surveys,,Don't Want To Do Suvryes,RcrtSI_OptOut_v1r0_PrivacyB,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_705732561,,
111,111,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
112,112,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,381509125,I do not want to provide access to medical history information or diagnoses,,Against Giving Med Hx Info or Dx,RcrtSI_OptOut_v1r0_PrivacyC,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_381509125,,
113,113,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
114,114,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,497530905,I do not trust the government,,Don't Trust Gov,RcrtSI_OptOut_v1r0_PrivacyD,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_497530905,Question text also for HdRef_PrivacyB_v1r0,
115,115,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
116,116,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,627995442,I do not trust research/researchers,,Don't Trust Rsrch,RcrtSI_OptOut_v1r0_PrivacyE,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_627995442,Question text for HdRef_PrivacyC_v1r0,
117,117,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
118,118,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,208102461,I do not want my information shared with other researchers,,Don't Want Info Given To Other Rsrchrs,RcrtSI_OptOut_v1r0_PrivacyF,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/11/22,Participants Table Nested structure: state_d_706283025_d_208102461,,
119,119,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
120,120,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,579618065,I am worried my information will not be secure or there will be a data breach,,Worried Info Not Secure,RcrtSI_OptOut_v1r0_PrivacyG,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_579618065,,
121,121,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
122,122,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,702433259,"I am worried about data being given to my insurance company/effects on insurance (health, life, other)",,Worried Ins Will Get Data,RcrtSI_OptOut_v1r0_PrivacyH,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_702433259,,
123,123,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
124,124,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,771146804,I am worried about data being given to my employer/potential employer,,Worried Job Will Get Data,RcrtSI_OptOut_v1r0_PrivacyI,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/6/23,Participants Table Nested structure: state_d_706283025_d_771146804,,
