conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date added or modified,Question_Type,QuestID - radio button or multi-answer format questions questions.
,Survey,,Background and Overall Health,,"American Indian or Alaska Native- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE2_v1r0,55,Num,1,,0=No,,,No,No,Only display if RACEETH = American Indian or Alaska Native,,,,,9/23/21,Optional Select All that Apply,RACEETH2
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"American Indian or Alaska Native- Which categories describe you? Select all that apply. Note, you may select more than one group.",,None of these American Indian or Alaska Native categories fully describe me. Please describe [text box],None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE2_v1r0,RACEETH2_TB,Char,300,,N/A,,,No,No,Only display if RACEETH = American Indian or Alaska Native,,,,,9/14/21,Optional Select All that Apply,RACEETH2
,Survey,,Background and Overall Health,,"American Indian or Alaska Native- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE2_v1r0,99,Num,1,,0=No,,,No,No,Only display if RACEETH = American Indian or Alaska Native,,,,,9/23/21,Optional Select All that Apply,RACEETH2
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Asian Indian,Asian Indian,SrvBOH_AsianInd_v1r0,0,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Cambodian,Cambodian,SrvBOH_Cambodian_v1r0,1,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Chinese,Chinese,SrvBOH_Chinese_v1r0,2,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Filipino,Filipino,SrvBOH_Filipino_v1r0,3,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Hmong,Hmong,SrvBOH_Hmong_v1r0,4,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Japanese,Japanese,SrvBOH_Japanese_v1r0,5,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Korean,Korean,SrvBOH_Korean_v1r0,6,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Pakistani,Pakistani,SrvBOH_Pakistani_v1r0,7,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Vietnamese,Vietnamese,SrvBOH_Viete_v1r0,8,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,9/24/21,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE3_v1r0,55,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,9/23/21,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,None of these Asian categories fully describe me. Please describe [text box],None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE3_v1r0,RACEETH3_TB,Char,300,,N/A,,,No,No,Only display if RACEETH = Asian,,,,,9/14/21,Optional Select All that Apply,RACEETH3
,Survey,,Background and Overall Health,,"Asian- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE3_v1r0,99,Num,1,,0=No,,,No,No,Only display if RACEETH = Asian,,,,,9/23/21,Optional Select All that Apply,RACEETH3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,African American,African American,SrvBOH_AfricanAm_v1r0,0,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Barbadian,Barbadian,SrvBOH_Barbadian_v1r0,1,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Caribbean,Caribbean,SrvBOH_Caribbean_v1r0,2,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Ethiopian,Ethiopian,SrvBOH_Ethiopian_v1r0,3,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Ghanaian,Ghanaian,SrvBOH_Ghanaian_v1r0,4,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Haitian,Haitian,SrvBOH_Haitian_v1r0,5,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Jamaican,Jamaican,SrvBOH_Jamaican_v1r0,6,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Liberian,Liberian,SrvBOH_Liberian_v1r0,7,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Nigerian,Nigerian,SrvBOH_Nigerian_v1r0,8,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Somali,Somali,SrvBOH_Somali_v1r0,9,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,South African,South African,SrvBOH_SAfrican_v1r0,10,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE4_v1r0,55,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,9/23/21,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,None of these Black categories fully describe me. Please describe [text box],None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE4_v1r0,RACEETH4_TB,Char,300,,N/A,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,9/14/21,Optional Select All that Apply,RACEETH4
,Survey,,Background and Overall Health,,"Black, African American, or African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE4_v1r0,99,Num,1,,0=No,,,No,No,"Only display if RACEETH = Black, African American, or African",,,,,9/23/21,Optional Select All that Apply,RACEETH4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Colombian,Colombian,SrvBOH_Columbian_v1r0,0,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Cuban,Cuban,SrvBOH_Cuban_v1r0,1,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Dominican,Dominican,SrvBOH_Dominican_v1r0,2,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Ecuadorian,Ecuadorian,SrvBOH_Ecuadorian_v1r0,3,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Honduran,Honduran,SrvBOH_Honduran_v1r0,4,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Mexican or Mexican American,Mexican or Mexican American,SrvBOH_Mexican_v1r0,5,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Puerto Rican,Puerto Rican,SrvBOH_PR_v1r0,6,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Salvadoran,Salvadoran,SrvBOH_Salvadoran_v1r0,7,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Spanish,Spanish,SrvBOH_Spanish_v1r0,8,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE5_v1r0,55,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,9/23/21,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,"None of these Hispanic, Latino, or Spanish categories fully describe me. Please describe [text box]",None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE5_v1r0,RACEETH5_TB,Char,300,,N/A,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,9/14/21,Optional Select All that Apply,RACEETH5
,Survey,,Background and Overall Health,,"Hispanic, Latino, or Spanish- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE5_v1r0,99,Num,1,,0=No,,,No,No,"Only display if RACEETH = Hispanic, Latino, or Spanish",,,,,9/23/21,Optional Select All that Apply,RACEETH5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Afghan,Afghan,SrvBOH_Afghan_v1r0,0,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Algerian,Algerian,SrvBOH_Algerian_v1r0,1,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Egyptian,Egyptian,SrvBOH_Egyptian_v1r0,2,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Iranian,Iranian,SrvBOH_Iranian_v1r0,3,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Iraqi,Iraqi,SrvBOH_Iraqi_v1r0,4,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Israeli,Israeli,SrvBOH_Israeli_v1r0,5,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Lebanese,Lebanese,SrvBOH_Lebanese_v1r0,6,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Moroccan,Moroccan,SrvBOH_Moroccan_v1r0,7,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Syrian,Syrian,SrvBOH_Syrian_v1r0,8,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Tunisian,Tunisian,SrvBOH_Tunisian_v1r0,9,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE6_v1r0,55,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,9/23/21,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,None of these Middle Eastern or North African categories fully describe me. Please describe [text box],None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE6_v1r0,RACEETH6_TB,Char,300,,N/A,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,9/14/21,Optional Select All that Apply,RACEETH6
,Survey,,Background and Overall Health,,"Middle Eastern or North African- Which categories describe you? Select all that apply. Note, you may select more than one group.",,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE6_v1r0,99,Num,1,,0=No,,,No,No,Only display if RACEETH = Middle Eastern or North African,,,,,9/23/21,Optional Select All that Apply,RACEETH6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Native Hawaiian or other Pacific Islander - Which categories describe you? Select all that apply. Note, you may select more than one group.",,Chamorro,Chamorro,SrvBOH_Chamorro_v1r0,0,Num,1,,0=No,,,No,No,Only display if RACEETH = Native Hawaiian or other Pacific Islander,,,,,,Optional Select All that Apply,RACEETH7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Native Hawaiian or other Pacific Islander - Which categories describe you? Select all that apply. Note, you may select more than one group.",,Chuukese,Chuukese,SrvBOH_Chuukese_v1r0,1,Num,1,,0=No,,,No,No,Only display if RACEETH = Native Hawaiian or other Pacific Islander,,,,,,Optional Select All that Apply,RACEETH7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Native Hawaiian or other Pacific Islander - Which categories describe you? Select all that apply. Note, you may select more than one group.",,Fijian,Fijian,SrvBOH_Fijian_v1r0,2,Num,1,,0=No,,,No,No,Only display if RACEETH = Native Hawaiian or other Pacific Islander,,,,,,Optional Select All that Apply,RACEETH7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Native Hawaiian or other Pacific Islander - Which categories describe you? Select all that apply. Note, you may select more than one group.",,Marshallese,Marshallese,SrvBOH_Marshallese_v1r0,3,Num,1,,0=No,,,No,No,Only display if RACEETH = Native Hawaiian or other Pacific Islander,,,,,,Optional Select All that Apply,RACEETH7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Native Hawaiian or other Pacific Islander - Which categories describe you? Select all that apply. Note, you may select more than one group.",,Hawaiian,Native Hawaiian,SrvBOH_NatHawaiian_v1r0,4,Num,1,,0=No,,,No,No,Only display if RACEETH = Native Hawaiian or other Pacific Islander,,,,,,Optional Select All that Apply,RACEETH7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
