conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Quest Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1-Previous Full street Name,Full Street name,SrvLAW_FullSt1_v1r0,FULLST1,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"1-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt1_v1r0,APT1,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1-Previous City ,City ,SrvLAW_City1_v1r0,CITY1,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1-Previous State/Province,State/Province,SrvLAW_State1_v1r0,ST1,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1-Previous Zip code,Zip code,SrvLAW_Zip1_v1r0,ZIP1,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,1-Previous Country ,Country ,SrvLAW_Country1_v1r0,COUNTRY1,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_2
,Survey,,Where You Live and Work,,Address 2-Please provide the following information: ,,1-Previous City - Follow-up,City ,SrvLAW_City1FollowUp_v1r0,CITY1_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_2
,Survey,,Where You Live and Work,,Address 2-Please provide the following information: ,,1-Previous State/Province - Follow-up,State/Province,SrvLAW_State1FollowUp_v1r0,ST1_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_2
,Survey,,Where You Live and Work,,Address 2-Please provide the following information: ,,1-Previous Zip code - Follow-up,Zip code,SrvLAW_Zip1FollowUp_v1r0,ZIP1_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_2
,Survey,,Where You Live and Work,,Address 2-Please provide the following information: ,,1-Previous Country - Follow-up,Country ,SrvLAW_Country1FU_v1r0,COUNTRY1_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_2
,Survey,,Where You Live and Work,,Address 2-Please provide the following information: ,,Address 2-Please provide the following information: ,Do Not Know 1-Previous,SrvLAW_Prev1DontKnow_v1r0,HOMEADD2_2,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD2_2
,Survey,,Where You Live and Work,,Address 2-Please provide the cross streets of the intersection closest to this address:,,1-Previous Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName2_v1r0,STRNAME2,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_2
,Survey,,Where You Live and Work,,Address 2-Please provide the cross streets of the intersection closest to this address:,,1-Previous Full Street name #2,Full Street name #2,SrvLAW_StrtName2_v1r0,STRTNAME2,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_2
,Survey,,Where You Live and Work,,Address 2-Please provide the cross streets of the intersection closest to this address:,,Address 2-Please provide the cross streets of the intersection closest to this address:,Do Not Know 1-Previous Cross,SrvLAW_Prev1CrDontKnow_v1r0,HOMEADD3_2,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD3_2
,Survey,,Where You Live and Work,,,,"1-Previous Review 2- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth2_v1r0,HOMEADDOTH2,Num,2,,0 = No,,1=Yes,No,No,,,,,,,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous Street number,Street number,SrvLAW_StNum2_v1r0,STNUM2,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous Full Street name,Full Street name,SrvLAW_FullSt2_v1r0,FULLST2,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"2-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt2_v1r0,APT2,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous City ,City ,SrvLAW_City2_v1r0,CITY2,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous State/Province,State/Province,SrvLAW_State2_v1r0,ST2,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous Zip code,Zip code,SrvLAW_Zip2_v1r0,ZIP2,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,2-Previous Country ,Country ,SrvLAW_Country2_v1r0,COUNTRY2,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_3
,Survey,,Where You Live and Work,,Address 3-Please provide the following information: ,,2-Previous City - Follow-up,City ,SrvLAW_City2FollowUp_v1r0,CITY2_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_3
,Survey,,Where You Live and Work,,Address 3-Please provide the following information: ,,2-Previous State/Province,State/Province,SrvLAW_State2FollowUp_v1r0,ST2_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_3
,Survey,,Where You Live and Work,,Address 3-Please provide the following information: ,,2-Previous Zip code - Follow-up,Zip code,SrvLAW_Zip2FollowUp_v1r0,ZIP2_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_3
,Survey,,Where You Live and Work,,Address 3-Please provide the following information: ,,2-Previous Country - Follow-up,Country ,SrvLAW_Country2FU_v1r0,COUNTRY2_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_3
,Survey,,Where You Live and Work,,Address 3-Please provide the following information: ,,Address 3-Please provide the following information: ,Do Not Know 2-Previous,SrvLAW_Prev2DontKnow_v1r0,HOMEADD2_3,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD2_3
,Survey,,Where You Live and Work,,Address 3-Please provide the cross streets of the intersection closest to this address:,,2-Previous Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName3_v1r0,STRNAME3,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_3
,Survey,,Where You Live and Work,,Address 3-Please provide the cross streets of the intersection closest to this address:,,2-Previous Full Street name #2,Full Street name #2,SrvLAW_StrtName3_v1r0,STRTNAME3,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_3
,Survey,,Where You Live and Work,,Address 3-Please provide the cross streets of the intersection closest to this address:,,Address 3-Please provide the cross streets of the intersection closest to this address:,Do Not Know 2-Previous Cross,SrvLAW_Prev2CrDontKnow_v1r0,HOMEADD3_3,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD3_3
,Survey,,Where You Live and Work,,,,"2-Previous Review 3- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth3_v1r0,HOMEADDOTH3,Num,2,,0 = No,,1=Yes,No,No,,,,,,,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous Street number,Street number,SrvLAW_StNum3_v1r0,STNUM3,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous Full Street name,Full Street name,SrvLAW_FullSt3_v1r0,FULLST3,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"3-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt3_v1r0,APT3,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous City ,City ,SrvLAW_City3_v1r0,CITY3,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous State/Province,State/Province,SrvLAW_State3_v1r0,ST3,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous Zip code,Zip code,SrvLAW_Zip3_v1r0,ZIP3,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,3-Previous Country ,Country ,SrvLAW_Country3_v1r0,COUNTRY3,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_4
,Survey,,Where You Live and Work,,Address 4-Please provide the following information: ,,3-Previous City - Follow-up,City ,SrvLAW_City3FollowUp_v1r0,CITY3_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_4
,Survey,,Where You Live and Work,,Address 4-Please provide the following information: ,,3-Previous State/Province - Follow-up,State/Province,SrvLAW_State3FollowUp_v1r0,ST3_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_4
,Survey,,Where You Live and Work,,Address 4-Please provide the following information: ,,3-Previous Zip code - Follow-up,Zip code,SrvLAW_Zip3FollowUp_v1r0,ZIP3_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_4
,Survey,,Where You Live and Work,,Address 4-Please provide the following information: ,,3-Previous Country - Follow-up,Country ,SrvLAW_Country3FU_v1r0,COUNTRY3_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_4
,Survey,,Where You Live and Work,,Address 4-Please provide the following information: ,,Address 4-Please provide the following information: ,Do Not Know 3-Previous,SrvLAW_Prev3DontKnow_v1r0,HOMEADD2_4,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD2_4
,Survey,,Where You Live and Work,,Address 4-Please provide the cross streets of the intersection closest to this address:,,3-Previous Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName4_v1r0,STRNAME4,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_4
,Survey,,Where You Live and Work,,Address 4-Please provide the cross streets of the intersection closest to this address:,,3-Previous Full Street name #2,Full Street name #2,SrvLAW_StrtName4_v1r0,STRTNAME4,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_4
,Survey,,Where You Live and Work,,Address 4-Please provide the cross streets of the intersection closest to this address:,,Address 4-Please provide the cross streets of the intersection closest to this address:,Do Not Know 3-Previous Cross,SrvLAW_Prev3CrDontKnow_v1r0,HOMEADD3_4,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD3_4
,Survey,,Where You Live and Work,,,,"3-Previous Review 4- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth4_v1r0,HOMEADDOTH4,Num,2,,0 = No,,1=Yes,No,No,,,,,,,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous Street number,Street number,SrvLAW_StNum4_v1r0,STNUM4,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous Full Street name,Full Street name,SrvLAW_FullSt4_v1r0,FULLST4,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"4-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt4_v1r0,APT4,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous City ,City ,SrvLAW_City4_v1r0,CITY4,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous State/Province,State/Province,SrvLAW_St4_v1r0,ST4,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous Zip code,Zip code,SrvLAW_Zip4_v1r0,ZIP4,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,4-Previous Country ,Country ,SrvLAW_Country4_v1r0,COUNTRY4,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_5
,Survey,,Where You Live and Work,,Address 5-Please provide the following information: ,,4-Previous City - Follow-up,City ,SrvLAW_City4FollowUp_v1r0,CITY4_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_5
,Survey,,Where You Live and Work,,Address 5-Please provide the following information: ,,4-Previous State/Province - Follow-up,State/Province,SrvLAW_St4FollowUp_v1r0,ST4_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_5
,Survey,,Where You Live and Work,,Address 5-Please provide the following information: ,,4-Previous Zip code - Follow-up,Zip code,SrvLAW_Zip4FollowUp_v1r0,ZIP4_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_5
,Survey,,Where You Live and Work,,Address 5-Please provide the following information: ,,4-Previous Country - Follow-up,Country ,SrvLAW_Country4FU_v1r0,COUNTRY4_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_5
,Survey,,Where You Live and Work,,Address 5-Please provide the following information: ,,Address 5-Please provide the following information: ,Do Not Know 4-Previous,SrvLAW_Prev4DontKnow_v1r0,HOMEADD2_5,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD2_5
,Survey,,Where You Live and Work,,Address 5-Please provide the cross streets of the intersection closest to this address:,,4-Previous Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName5_v1r0,STRNAME5,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_5
,Survey,,Where You Live and Work,,Address 5-Please provide the cross streets of the intersection closest to this address:,,4-Previous Full Street name #2,Full Street name #2,SrvLAW_StrtName5_v1r0,STRTNAME5,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_5
,Survey,,Where You Live and Work,,Address 5-Please provide the cross streets of the intersection closest to this address:,,Address 5-Please provide the cross streets of the intersection closest to this address:,Do Not Know 4-Previous Cross,SrvLAW_Prev4CrDontKnow_v1r0,HOMEADD3_5,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD3_5
,Survey,,Where You Live and Work,,,,"4-Previous Review 5- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth5_v1r0,HOMEADDOTH5,Num,2,,0 = No,,1=Yes,No,No,,,,,,,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous Street number,Street number,SrvLAW_StNum5_v1r0,STNUM5,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous Full Street name,Full Street name,SrvLAW_FullSt5_v1r0,FULLST5,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"5-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt5_v1r0,APT5,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous City ,City ,SrvLAW_City5_v1r0,CITY5,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous State/Province,State/Province,SrvLAW_State5_v1r0,ST5,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous Zip code,Zip code,SrvLAW_Zip5_v1r0,ZIP5,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,5-Previous Country ,Country ,SrvLAW_Country5_v1r0,COUNTRY5,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_6
,Survey,,Where You Live and Work,,Address 6-Please provide the following information: ,,5-Previous City - Follow-up,City ,SrvLAW_City5FollowUp_v1r0,CITY5_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_6
,Survey,,Where You Live and Work,,Address 6-Please provide the following information: ,,5-Previous State/Province - Follow-up,State/Province,SrvLAW_State5FollowUp_v1r0,ST5_FOLLOWUP,Char,48,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_6
,Survey,,Where You Live and Work,,Address 6-Please provide the following information: ,,5-Previous Zip code - Follow-up,Zip code,SrvLAW_Zip5FollowUp_v1r0,ZIP5_FOLLOWUP,Num,5,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_6
,Survey,,Where You Live and Work,,Address 6-Please provide the following information: ,,5-Previous Country - Follow-up,Country ,SrvLAW_Country5FU_v1r0,COUNTRY5_FOLLOWUP,Char,300,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_6
,Survey,,Where You Live and Work,,Address 6-Please provide the following information: ,,Address 6-Please provide the following information: ,Do Not Know 5-Previous,SrvLAW_Prev5DontKnow_v1r0,HOMEADD2_6,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/102022,,HOMEADD2_6
,Survey,,Where You Live and Work,,Address 6-Please provide the cross streets of the intersection closest to this address:,,5-Previous Full Street name #1 ,Full Street name #1 ,SrvLAW_StrName6_v1r0,STRNAME6,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_6
,Survey,,Where You Live and Work,,Address 6-Please provide the cross streets of the intersection closest to this address:,,5-Previous Full Street name #2,Full Street name #2,SrvLAW_StrtName6_v1r0,STRTNAME6,Char,70,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD3_6
,Survey,,Where You Live and Work,,Address 6-Please provide the cross streets of the intersection closest to this address:,,Address 6-Please provide the cross streets of the intersection closest to this address:,Do Not Know 5-Previous Cross,SrvLAW_Prev5CrDontKnow_v1r0,HOMEADD3_6,Num,2,,77 = Unavailable/Unknown,,77=Unavailable/Unknown,No,No, ,,,,,3/10/22,,HOMEADD3_6
,Survey,,Where You Live and Work,,,,"5-Previous Review 6- Within the past 20 years, have you lived anywhere else for at least two years ?",Lived anywhere else at least two years,SrvLAW_HomeAddOth6_v1r0,HOMEADDOTH6,Num,2,,0 = No,,1=Yes,No,No,,,,,,,,
,,,,,,,,,,,,,,1 = Yes,,2=No,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous Street number,Street number,SrvLAW_StNum6_v1r0,STNUM6,Num,6,,,,,No,Yes,,,,,,2/3/22,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous Full Street name,Full Street name,SrvLAW_FullSt6_v1r0,FULLST6,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,"6-Previous Apartment, suite, unit, building, etc.","Apartment, suite, unit, building, etc.",SrvLAW_Apt6_v1r0,APT6,Char,70,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous City ,City ,SrvLAW_City6_v1r0,CITY6,Char,45,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous State/Province,State/Province,SrvLAW_State6_v1r0,ST6,Char,48,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous Zip code,Zip code,SrvLAW_Zip6_v1r0,ZIP6,Num,5,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7- What is the full street address of the place you lived before? Please only include addresses where you have lived for at least two years.,,6-Previous Country ,Country ,SrvLAW_Country6_v1r0,COUNTRY6,Char,300,,,,,No,Yes,,,,,,,,HOMEADD1_7
,Survey,,Where You Live and Work,,Address 7-Please provide the following information: ,,6-Previous City - Follow-up,City ,SrvLAW_City6FollowUp_v1r0,CITY6_FOLLOWUP,Char,45,, ,, ,No,Yes, ,,,,,3/3/22,,HOMEADD2_7
