conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,,Variable Type,Variable Length,conceptId,Format/Value,,,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,,,,,,,,,,,
,Recruitment,,Sign in,,,,Sanford Health Reported Race,Sanford Health Reported Race,RcrtSI_SHRace_v1r0,,Num,2,,0=African American/Black,,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1=American Indian or Alaskan Native,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2=Asian,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Caucasian/White,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Hispanic/Latino/Black,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5=Hispanic/Latino/Declined,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6=Hispanic/Latino/White,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7=Native Hawaiian,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8=Native Hawaiian/Pacific Islander,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9=Pacific Islander,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,66=Blank,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,99=Declined,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Sanford Health Reported Ethnicity,Sanford Health Reported Ethnicity,RcrtSI_SHEthnicity_v1r0,,Num,1,,0=Hispanic or Latino,,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,66=Blank,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,99=Declined,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Henry Ford Health System Reported Race,Henry Ford Health System Reported Race,RcrtSI_HFHSRace_v1r0,,Num,2,,0=African American/Black,,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Caucasian/White,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Henry Ford Health System Reported Ethnicity,Henry Ford Health System Reported Ethnicity,RcrtSI_HFHSEthnicity_v1r0,,Num,2,,0=Hispanic or Latino,,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Not Hispanic or Latino,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Henry Ford Health System Race Ethnicity Combination,Henry Ford Health System Race Ethnicity Combination,RcrtSI_HFHSRE_v1r0,,Num,2,,0 = African American/Black and Hispanic or Latino,,,For Henry Ford HS,No,,RcrtSI_HFHSRE_v1r0 equals 0 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 0,Master Data Dictionary,No,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1 = African American/Black and not Hispanic or Latino,,,,,,RcrtSI_HFHSRE_v1r0 equals 1 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = African American/Black and Ethnicity Unavailable/Unknown,,,,,,RcrtSI_HFHSRE_v1r0 equals 2 if RcrtSI_HFHSRace_v1r0 equals 0 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = Caucasian/White and Hispanic or Latino,,,,,,RcrtSI_HFHSRE_v1r0 equals 3 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = Caucasian/White and not Hispanic or Latino,,,,,,RcrtSI_HFHSRE_v1r0 equals 4 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5 = Caucasian/White and Ethnicity Unavailable/Unknown,,,,,,RcrtSI_HFHSRE_v1r0 equals 5 if RcrtSI_HFHSRace_v1r0 equals 1 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"6 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and Hispanic or Latino",,,,,,RcrtSI_HFHSRE_v1r0 equals 6 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"7 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and not Hispanic or Latino",,,,,,RcrtSI_HFHSRE_v1r0 equals 7 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"8 = Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander) and Ethnicity Unavailable/Unknown",,,,,,RcrtSI_HFHSRE_v1r0 equals 8 if RcrtSI_HFHSRace_v1r0 equals 2 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9 = Race Unavailable/Unknown and Ethnicity Hispanic or Latino,,,,,,RcrtSI_HFHSRE_v1r0 equals 9 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10 = Race Unavailable/Unknown and Ethnicity not Hispanic or Latino,,,,,,RcrtSI_HFHSRE_v1r0 equals 10 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77 = Race Unavailable/Unknown and Ethnicity Unavailable/Unknown,,,,,,RcrtSI_HFHSRE_v1r0 equals 77 if RcrtSI_HFHSRace_v1r0 equals 77 and RcrtSI_HFHSEthnicity equals 77,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Site reported sex,Site reported sex,RcrtSI_Sex_v1r0,,Num,1,,0 = Female,,,Yes,No,,,Recruitment Data Dictionary,Yes,No,2/2/22,,,,,,,,,,,
,,,,,,,,,,,,,,1 = Male,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = Intersex or other- Site Reported,,,,,,,,,,,Note for Nicole to check in her email. Concept IDs in Module 1 and Master Dictionary are diff,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Sanford and Henry Ford reported sex,Sanford and Henry Ford reported sex,RcrtSI_SH_HFHS_Sex_v1r0,,Num,1,,0 = Female,,,For SH and HFHS,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1 = Male,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,77=Unavailable/Unknown,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Eligibility algorithm version,Eligibility algorithm version,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,,Yes,No,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,Recruitment,,Sign in,,,,IHCS Membership Status,IHCS Membership Status,RcrtSI_MemberStat_v1r0,,Num,1,,0=Member of IHCS Health Plan,,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Non-Member IHCS Patient,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Campaign Type,Campaign Type,RcrtSI_CampaignType_v1r0,,Num,1,,0=Random,,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,12/27/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Screening appointment,,,,,"For passive recruits, 88 = None of the above, should be used when campaign type is not available.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2=Non-screening appointment,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Demographic Group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Aging out of study,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5=Geographic group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6=Post-screening appointment,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7= Technology adapters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8= Low-income/health professional shortage areas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,88=None of these apply,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,PIN/Token Workflow for HP,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,,0 = Letter without PIN,,,Yes for HP,No,,,Recruitment Data Dictionary,Yes,No,,,,,,,,,,,,
,,,,,,,,,,,,,,1 = Letter with PIN,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Pre-consent Opt-out,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,,0=No,,,No,No,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,,,Date/time for pre-consent opt-out,Date/time for pre-consent opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,,,Master Data Dictionary,Yes,No,4/16/21,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am not interested,Not interested,RcrtSI_OptOut_v1r0_inter,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am too busy to join,Too busy/stressed to join,RcrtSI_OptOut_v1r0_busy,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am concerned about my privacy,Concerned about Privacy,RcrtSI_OptOut_v1r0_priv,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also shows up for HdRef_Privacy_v1r0,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I have received too many contacts from the study,Too many contacts from the study,RcrtSI_OptOut_v1r0_contacts,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am not able to complete the study activities online,Not able to complete study activities online,RcrtSI_OptOut_v1r0_able,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_Online_v1r0,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to join the study for other reasons,Other reason(s),RcrtSI_OptOut_v1r0_other,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,Please specify __________,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not think the research topic is important/I am not interested in the topic,I do not think the research topic is important/I am not interested in the topic,RcrtSI_OptOut_v1r0_impt,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to participate in research,Does not want to participate in research,RcrtSI_OptOut_v1r0_partic,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to be in a long-term study,Does not want to be in a long-term study,RcrtSI_OptOut_v1r0_term,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I think the study takes too much time/asks for too much,I think the study takes too much time/asks for too much,RcrtSI_OptOut_v1r0_time,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to give biological samples,Does not want to give biospecimen samples,RcrtSI_OptOut_v1r0_samples,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I think the payment or benefit to participate is not great enough,Compensation to participate is not high enough,RcrtSI_OptOut_v1r0_comp,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not think I am eligible,Does not think they are eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am opposed to genetic testing,I am opposed to genetic testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am too sick/my health is too poor to join,Too sick/poor health to join,RcrtSI_OptOut_v1r0_health,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not have reliable access to the internet/a device,I do not have reliable access to the internet/a device,RcrtSI_OptOut_v1r0_access,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not like to do things online,Does not like to do things online,RcrtSI_OptOut_v1r0_online,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_DislikeOnline_v1r0,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am worried the study might find out something concerning about me,Worried the study might find something concerning about them,RcrtSI_OptOut_v1r0_concern,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to provide information online,I do not want to provide information online,RcrtSI_OptOut_v1r0_PrivacyA,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to complete surveys,I do not want to complete surveys,RcrtSI_OptOut_v1r0_PrivacyB,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want to provide access to medical history information or diagnoses,I do not want to provide access to medical history information or diagnoses,RcrtSI_OptOut_v1r0_PrivacyC,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not trust the government,I do not trust the government,RcrtSI_OptOut_v1r0_PrivacyD,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Question text also for HdRef_PrivacyB_v1r0,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not trust research/researchers,I do not trust research/researchers,RcrtSI_OptOut_v1r0_PrivacyE,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Question text for HdRef_PrivacyC_v1r0,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I do not want my information shared with other researchers,I do not want my information shared with other researchers,RcrtSI_OptOut_v1r0_PrivacyF,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/11/22,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am worried my information will not be secure or there will be a data breach,I am worried my information will not be secure or there will be a data breach,RcrtSI_OptOut_v1r0_PrivacyG,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,"I am worried about data being given to my insurance company/effects on insurance (health, life, other)","I am worried about data being given to my insurance company/effects on insurance (health, life, other)",RcrtSI_OptOut_v1r0_PrivacyH,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am worried about data being given to my employer/potential employer,I am worried about data being given to my employer/potential employer,RcrtSI_OptOut_v1r0_PrivacyI,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am worried that my information could be used to discriminate against me/my family,I am worried that my information could be used to discriminate against me/my family,RcrtSI_OptOut_v1r0_PrivacyJ,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,,,,,,,,,
,Recruitment,,Sign in,,Reasons for opt-out request. (Select all that apply),,I am worried that my information will be used by others to make a profit,I am worried that my information will be used by others to make a profit,RcrtSI_OptOut_v1r0_PrivacyK,,Num,1,,0=No,,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,No,10/21/21,,,,,,,,,,,
