conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date added or modified,,QuestID - radio button or multi-answer format questions questions.,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",837412550,"During the time(s) that you were taking regular or extra strength aspirin, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",317527310,Days per week,Regular or extra strength aspirin days per week,SrvMRE_ReAspirinWk_v1r0,RegAsprinWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 1,,,,,10/8/21,,PAINREL2_2,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",837412550,"During the time(s) that you were taking regular or extra strength aspirin, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",310061478,Days per month,Regular or extra strength aspirin days per month,SrvMRE_REAspirinMo_v1r0,RegAsprinMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 1,,,,,10/8/21,,PAINREL2_2,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",388804810,"During the time(s) that you were taking ibuprofen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",576558862,Days per week,ibuprofen days per week,SrvMRE_IbuprofenWk_v1r0,IbuprofenWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 2,,,,,10/8/21,,PAINREL2_3,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",388804810,"During the time(s) that you were taking ibuprofen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",247777639,Days per month,ibuprofen days per month,SrvMRE_IbuprofenMo_v1r0,IbuprofenMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 2,,,,,10/8/21,,PAINREL2_3,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",614446276,"During the time(s) that you were taking Acetaminophen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",166789083,Days per week,Acetaminophen days per week,SrvMRE_AcetaminophenWk_v1r0,AcetWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 3,,,,,10/8/21,,PAINREL2_4,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",614446276,"During the time(s) that you were taking Acetaminophen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",570218792,Days per month,Acetaminophen days per month,SrvMRE_AcetaminophenMo_v1r0,AcetMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 3,,,,,10/8/21,,PAINREL2_4,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",234177873,"During the time(s) that you were taking Naproxen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",857680243,Days per week,Naproxen days per week,SrvMRE_NaproxenWk_v1r0,NaproxenWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 4,,,,,10/8/21,,PAINREL2_5,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",234177873,"During the time(s) that you were taking Naproxen, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",977076834,Days per month,Naproxen days per month,SrvMRE_NaproxenMo_v1r0,NaproxenMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 4,,,,,10/8/21,,PAINREL2_5,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",248599913,"During the time(s) that you were taking Celebrex (celecoxib), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",376091473,Days per week,Celebrex (celecoxib) days per week,SrvMRE_CelebrexWk_v1r0,CelecoxibWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 5,,,,,10/8/21,,PAINREL2_6,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",248599913,"During the time(s) that you were taking Celebrex (celecoxib), about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",596733110,Days per month,Celebrex (celecoxib) days per month,SrvMRE_CelebrexMo_v1r0,CelecoxibMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 5,,,,,10/8/21,,PAINREL2_6,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",697661603,"During the time(s) that you were taking prescription pain relievers containing opioids, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",427336386,Days per week,prescription pain relievers containing opioids days per week,SrvMRE_OpioidsWk_v1r0,PainRelWEEK,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 6,,,,,10/8/21,,PAINREL2_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",697661603,"During the time(s) that you were taking prescription pain relievers containing opioids, about how many days per week OR per month did you take it? Please choose whichever makes the most sense for you.",400017574,Days per month,prescription pain relievers containing opioids days per month,SrvMRE_OpioidsMo_v1r0,PainRelMONTH,Num,2,,N/A,,N/A,No,No,Only display if PAINREL1 = 6,,,,,10/8/21,,PAINREL2_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",596961796,Pills per day baby or low-dose aspirin (81 mg or less),101317072,# Pills per day,Pills per day baby or low-dose aspirin (81 mg or less),SrvMRE_LAspirinPill_v1r0,PAINREL3_1A,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 0,,,,,10/25/21,,PAINREL3_1,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",596961796,Pills per day baby or low-dose aspirin (81 mg or less),596961796,Pills per day baby or low-dose aspirin (81 mg or less),"Pills per day baby or low-dose aspirin (81 mg or less), don't know",SrvMRE_LAspirinPillDK_v1r0,PAINREL3_1,Num,2,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 0,,,,,10/6/21,,PAINREL3_1,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",825189914,Pills per day regular or extra strength aspirin,506631184,# Pills per day,Pills per day regular or extra strength aspirin,SrvMRE_REAspirinPill_v1r0,PAINREL3_2A,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 1,,,,,10/25/21,,PAINREL3_2,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",825189914,Pills per day regular or extra strength aspirin,825189914,Pills per day regular or extra strength aspirin,"Pills per day regular or extra strength aspirin, don't know",SrvMRE_REAspirinPillDK_v1r0,PAINREL3_2,Num,2,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 1,,,,,10/6/21,,PAINREL3_2,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",753416375,Pills per day ibuprofen,377507430,# Pills per day,Pills per day ibuprofen,SrvMRE_IbuprofenPill_v1r0,PAINREL3_3A,Num,3,,,,N/A,No,No,Only display if PAINREL1 = 2,,,,,10/25/21,,PAINREL3_3,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",753416375,Pills per day ibuprofen,753416375,Pills per day ibuprofen,"Pills per day ibuprofen, don't know",SrvMRE_IbuprofenPillDK_v1r0,PAINREL3_3,Num,3,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 2,,,,,10/6/21,,PAINREL3_3,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",646042915,Pills per day acetaminophen,267187069,# Pills per day,Pills per day acetaminophen,SrvMRE_AcetPill_v1r0,PAINREL3_4A,Num,3,,,,N/A,No,No,Only display if PAINREL1 = 3,,,,,10/25/21,,PAINREL3_4,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",646042915,Pills per day acetaminophen,646042915,Pills per day acetaminophen,"Pills per day acetaminophen, don't know",SrvMRE_AcetPillDK_v1r0,PAINREL3_4,Num,3,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 3,,,,,10/6/21,,PAINREL3_4,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",799338907,Pills per day naproxen,784516299,# Pills per day,Pills per day naproxen,SrvMRE_NaproxenPill_v1r0,PAINREL3_5A,Num,3,,,,N/A,No,No,Only display if PAINREL1 = 4,,,,,10/25/21,,PAINREL3_5,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",799338907,Pills per day naproxen,799338907,Pills per day naproxen,"Pills per day naproxen, don't know",SrvMRE_NaproxenPillDK_v1r0,PAINREL3_5,Num,3,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 4,,,,,10/6/21,,PAINREL3_5,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",893965588,Pills per day Celebrex (celecoxib),563606905,# Pills per day,Pills per day Celebrex (celecoxib),SrvMRE_CelebrexPill_v1r0,PAINREL3_6A,Num,3,,,,N/A,No,No,Only display if PAINREL1 = 5,,,,,10/25/21,,PAINREL3_6,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",893965588,Pills per day Celebrex (celecoxib),893965588,Pills per day Celebrex (celecoxib),"Pills per day Celebrex (celecoxib), don't know",SrvMRE_CelebrexPillDK_v1r0,PAINREL3_6,Num,3,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 5,,,,,10/6/21,,PAINREL3_6,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",438682764,Pills per day prescription pain relievers containing opioids,770097917,# Pills per day,Pills per day prescription pain relievers containing opioids,SrvMRE_OpioidsPill_v1r0,PAINREL3_7A,Num,3,,,,N/A,No,No,Only display if PAINREL1 = 6,,,,,10/25/21,,PAINREL3_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",438682764,Pills per day prescription pain relievers containing opioids,438682764,Pills per day prescription pain relievers containing opioids,"Pills per day prescription pain relievers containing opioids, don't know",SrvMRE_OpioidsPillDK_v1r0,PAINREL3_7,Num,3,,77 = Unavailable/Unknown,,Don't know,No,No,Only display if PAINREL1 = 6,,,,,10/6/21,,PAINREL3_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,113681507,About how many years did you take baby or low-dose aspirin (81 mg or less)?,# Years took baby or low-dose aspirin (81 mg or less),SrvMRE_LAspirinYr_v1r0,PAINREL4_1,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 0,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,615979584,About how many years did you take regular or extra strength aspirin?,# Years took regular or extra strength aspirin,SrvMRE_REAspirinYr_v1r0,PAINREL4_2,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 1,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,771526486,About how many years did you take ibuprofen?,# Years took ibuprofen,SrvMRE_IbuprofenYr_v1r0,PAINREL4_3,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 2,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,270254670,About how many years did you take acetaminophen?,# Years took acetaminophen,SrvMRE_AcetaminophenYr_v1r0,PAINREL4_4,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 3,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,376720409,About how many years did you take naproxen?,# Years took naproxen,SrvMRE_NaproxenYr_v1r0,PAINREL4_5,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 4,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,439072744,About how many years did you take Celebrex (celecoxib)?,# Years took Celebrex (celecoxib),SrvMRE_CelebrexYr_v1r0,PAINREL4_6,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 5,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,445571225,About how many years did you take prescription pain relievers containing opioids?,# Years took prescription pain relievers containing opioids,SrvMRE_OpioidsYr_v1r0,PAINREL4_7,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 6,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,177526169,When was the last time you took baby or low-dose aspirin (81 mg or less)?,Last time took baby or low-dose aspirin (81 mg or less)?,SrvMRE_LaspirinTime_v1r0,PAINREL5_1,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 0,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,814141708,When was the last time you took regular or extra strength aspirin?,Last time took regular or extra strength aspirin?,SrvMRE_REAspirinTime_v1r0,PAINREL5_2,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 1,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,292658699,When was the last time you took ibuprofen?,Last time took ibuprofen?,SrvMRE_IbuprofenTime_v1r0,PAINREL5_3,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 2,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,861824298,When was the last time you took acetaminophen?,Last time took acetaminophen?,SrvMRE_AcetaminophenTm_v1r0,PAINREL5_4,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 3,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,575646308,When was the last time you took naproxen?,Last time took naproxen?,SrvMRE_NaproxenTime_V1r0,PAINREL5_5,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 4,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,733861762,When was the last time you took Celebrex (celecoxib)?,Last time took Celebrex (celecoxib)?,SrvMRE_CelebrexTime_v1r0,PAINREL5_6,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 5,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,761822652,When was the last time you took prescription pain relievers containing opioids?,Last time took prescription pain relievers containing opioids?,SrvMRE_OpioidsTime_v1r0,PAINREL5_7,Num,2,317567178,0 = In the past month,,1 = In the past month,No,No,Only display if PAINREL1 = 6,,,,,,,,
,,,,,,,,,,,,,484055234,"1 =More than a month ago, but in the past year",,"2 =More than a month ago, but in the past year",,,,,,,,,,,
,,,,,,,,,,,,,802197176,2 =More than 1 year ago,,3 =More than 1 year ago,,,,,,,,,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,564374538,About how many years ago did you take baby or low-dose aspirin (81 mg or less)?,Years ago took baby or low-dose aspirin (81 mg or less),SrvMRE_LAspirinYA_v1r0,PAINREL6_1,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 0,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,265428345,About how many years ago did you take regular or extra strength aspirin?,Years ago took regular or extra strength aspirin,SrvMRE_REAspirinYA_v1r0,PAINREL6_2,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 1,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,491549803,About how many years ago did you take ibuprofen?,Years ago took ibuprofen,SrvMRE_IbuprofenYA_v1r0,PAINREL6_3,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 2,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,846227588,About how many years ago did you take acetaminophen?,Years ago took acetaminophen,SrvMRE_AcetaminophenYA_v1r0,PAINREL6_4,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 3,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,798182168,About how many years ago did you take naproxen?,Years ago took naproxen,SrvMRE_NaproxenYA_v1r0,PAINREL6_5,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 4,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,322479862,About how many years ago did you take Celebrex (celecoxib)?,Years ago took Celebrex (celecoxib),SrvMRE_CelebrexYA_v1r0,PAINREL6_6,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 5,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",,,737490587,About how many years ago did you take prescription pain relievers containing opioids?,Years ago took prescription pain relievers containing opioids,SrvMRE_OpioidsYA_v1r0,PAINREL6_7,Num,2,,,,N/A,No,No,Only display if PAINREL1 = 6,,,,,11/10/21,,,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",643807999,Why did you take baby or low-dose aspirin (81 mg or less)? Select all that apply.,323106499,Arthritis,Arthritis,SrvMRE_Arthiritis_v1r0,0,Num,2,104430631,0 = No,,2=No,No,No,Only display if PAINREL1 = 0,,,,,7/8/21,,PAINREL7_1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
,,,,275143071,Why did you take regular or extra strength aspirin? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 1,,,,,,,PAINREL7_2,
,,,,152138929,Why did you take ibuprofen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 2,,,,,,,PAINREL7_3,
,,,,630231395,Why did you take acetaminophen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 3,,,,,,,PAINREL7_4,
,,,,655266993,Why did you take naproxen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 4,,,,,,,PAINREL7_5,
,,,,509383583,Why did you take Celebrex (celecoxib)? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 5,,,,,,,PAINREL7_6,
,,,,887435355,Why did you take prescription pain relievers containing opioids? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 6,,,,,,,PAINREL7_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",643807999,Why did you take baby or low-dose aspirin (81 mg or less)? Select all that apply.,769901710,Back pain/backache,Back pain/backache,SrvMRE_BackPain_v1r0,1,Num,2,104430631,0 = No,,2=No,No,No,Only display if PAINREL1 = 0,,,,,7/20/21,,PAINREL7_1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
,,,,275143071,Why did you take regular or extra strength aspirin? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 1,,,,,,,PAINREL7_2,
,,,,152138929,Why did you take ibuprofen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 2,,,,,,,PAINREL7_3,
,,,,630231395,Why did you take acetaminophen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 3,,,,,,,PAINREL7_4,
,,,,655266993,Why did you take naproxen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 4,,,,,,,PAINREL7_5,
,,,,509383583,Why did you take Celebrex (celecoxib)? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 5,,,,,,,PAINREL7_6,
,,,,887435355,Why did you take prescription pain relievers containing opioids? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 6,,,,,,,PAINREL7_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",643807999,Why did you take baby or low-dose aspirin (81 mg or less)? Select all that apply.,727773491,Menstrual Pain,Menstrual Pain,SrvMRE_MenstrualPain_v1r0,2,Num,2,104430631,0 = No,,2=No,No,No,Only display if PAINREL1 = 0,,,,,7/8/21,,PAINREL7_1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
,,,,275143071,Why did you take regular or extra strength aspirin? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 1,,,,,,,PAINREL7_2,
,,,,152138929,Why did you take ibuprofen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 2,,,,,,,PAINREL7_3,
,,,,630231395,Why did you take acetaminophen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 3,,,,,,,PAINREL7_4,
,,,,655266993,Why did you take naproxen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 4,,,,,,,PAINREL7_5,
,,,,509383583,Why did you take Celebrex (celecoxib)? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 5,,,,,,,PAINREL7_6,
,,,,887435355,Why did you take prescription pain relievers containing opioids? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 6,,,,,,,PAINREL7_7,
129084651,Survey,745268907,"Medications, Reproductive Health, Exercise, and Sleep",643807999,Why did you take baby or low-dose aspirin (81 mg or less)? Select all that apply.,283652434,Disease prevention,Disease prevention,SrvMRE_DiseasePrev_v1r0,3,Num,2,104430631,0 = No,,2=No,No,No,Only display if PAINREL1 = 0,,,,,7/8/21,,PAINREL7_1,
,,,,,,,,,,,,,353358909,1 = Yes,,1=Yes,,,,,,,,,,,
,,,,275143071,Why did you take regular or extra strength aspirin? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 1,,,,,,,PAINREL7_2,
,,,,152138929,Why did you take ibuprofen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 2,,,,,,,PAINREL7_3,
,,,,630231395,Why did you take acetaminophen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 3,,,,,,,PAINREL7_4,
,,,,655266993,Why did you take naproxen? Select all that apply.,,,,,,,,,,,,,,Only display if PAINREL1 = 4,,,,,,,PAINREL7_5,
