conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Have you ever used any of these tobacco products, even once? Select all that apply.",,None of the above,I have not used any of these tobacco products,SrvSAS_NoTobacco_v1r0,88,Num,1,,0 = No,,2=No,No,No,,,,,,11/23/21,,TOBACCO,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many cigarettes have you smoked in your entire life? ,How many cigarettes used in life,SrvSAS_CigarettesLife_v1r0,CIG1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first smoked a cigarette? ,Age first used cigarettes,SrvSAS_AgeCigsUseF_v1r0,CIG2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used cigarettes on a regular basis,,Age started using on regular basis,Age first used cigarettes on a regular basis,SrvSAS_AgeCigsUseRegF_v1r0,CIG3_AGE,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,CIG3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used cigarettes on a regular basis,,Age first used cigarettes on a regular basis,"Age first used cigarettes on a regular basis, Never smoked",SrvSAS_NeverSmokedReg_v1r0,CIG3,Num,2,,44 = Never,,,,,,,,,,11/23/21,,CIG3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you smoke cigarettes now? ,Use cigarettes now,SrvSAS_UseCigsNow_v1r0,CIG4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some day",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you smoked cigarettes?,Last use cigarettes,SrvSAS_UseCigsLast_v1r0,CIG5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you smoked cigarettes? ,Days used cigarettes past 30 days,SrvSAS_DaysCigsUse30L_v1r0,CIG6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last smoke cigarettes? ,Months ago last used cigarettes,SrvSAS_MoCigsUseLast_v1r0,CIG7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever smoke cigarettes every day?","Use cigarettes every day, months",SrvSAS_CigsUseEDMo_v1r0,CIG7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you smoke cigarettes in a usual month? ","How many days used cigarettes, usual month",SrvSAS_CigsUseDays_v1r0,CIG7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last smoked cigarettes?,Age last used cigarettes,SrvSAS_AgeCigsUseL_v1r0,CIG8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever smoke cigarettes every day?","Use cigarettes every day, age last used",SrvSAS_CigsUseEDAgeL_v1r0,CIG8C,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used- During that time, how many days (1 to 30) did you smoke cigarettes in a usual month? ","How many days used cigarettes, age last used",SrvSAS_DaysCigsUseAgeL_v1r0,CIG8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [smoke/smoked], how many cigarettes [do/did] you smoke per day? Please provide the number of cigarettes, not the number of packs.  ",Number of cigarettes per day,SrvSAS_NumCigsDay_v1r0,CIG9A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever smoke cigarettes every day? ,Ever use cigarettes every day,SrvSAS_CigsEveryday_v1r0,CIG9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped smoking cigarettes every day? ,Age stopped using cigarettes every day,SrvSAS_AgeStopCigsED_v1r0,CIG9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily smoker, how many cigarettes did you smoke per day?","When daily user, number of cigarettes per day",SrvSAS_DailyUseCigsDay_v1r0,CIG9C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On a usual day that you [smoke/smoked], how soon after you [wake up/woke up] [do/did] you smoke your first cigarette of the day? ",Use cigarette after waking up,SrvSAS_CigsWakeUp_v1r0,CIG10,Num,1,,0= 5 minutes or less,,1= 5 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 6 to 30 minutes,,2= 6 – 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 31 – 59 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 – 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On a usual day that you [smoke/smoked], how often [do/did] you smoke a cigarette before your first meal of the day? ",Use cigarette before first meal,SrvSAS_CigsFirstMeal_v1r0,CIG11,Num,1,,0= Almost all the time,,1= Almost all the time,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1= Most of the time,,2= Most of the time,,,,,,,,,,,,
,,,,,,,,,,,,,,2= About half of the time,,3= About half of the time,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Some of the time,,4= Some of the time,,,,,,,,,,,,
,,,,,,,,,,,,,,4= Almost never,,5= Almost never,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X] to age [Y / 17], about how many cigarettes did you smoke per day? ","How many cigarettes used, Age [X] to age [Y / 17]",SrvSAS_CigsUsed17_v1r0,CIGLIFEA ,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 18] to age [Y / 24], about how many cigarettes did you smoke per day? ","How many cigarettes used, Age [X / 18] to age [Y / 24]",SrvSAS_CigsUsed1824_v1r0,CIGLIFEB,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 25] to age [Y / 29], about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 25] to age [Y / 29]",SrvSAS_CigsUsed2529_v1r0,CIGLIFEC,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 30] to age [Y / 39 / current age], about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 30] to age [Y / 39 / current age]",SrvSAS_CigsUsed3039_v1r0,CIGLIFED,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 40] to age [Y / 49 / current age], about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 40] to age [Y / 49 / current age]",SrvSAS_CigsUsed4049_v1r0,CIGLIFEE,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 50] to age [Y / 59 / current age], about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 50] to age [Y / 59 / current age]",SrvSAS_CigsUsed5059_v1r0,CIGLIFEF,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 60] to age [Y / 69 / current age], about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 60] to age [Y / 69 / current age]",SrvSAS_CigsUsed6069_v1r0,CIGLIFEG,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 70] and older, about how many cigarettes did you smoke per day? ","How many cigarettes used, [X / 70] and older",SrvSAS_CigsUsed70_v1r0,CIGLIFEH,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many days have you used e-cigarettes or other vaping devices for nicotine or tobacco in your life?,How many days used e-cigarettes or other vaping devices used in life,SrvSAS_DaysUseECig_v1r0,ECIG1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first used e-cigarettes or other vaping devices for nicotine or tobacco? ,Age first used e-cigarettes or other vaping devices,SrvSAS_ECigAgeUseF_v1r0,ECIG2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used e-cigarettes or other vaping devices on a regular basis,,Age started using on regular basis,Age first used e-cigarettes or other vaping devices on a regular basis,SrvSAS_ECigAgeUseRegF_v1r0,REGVAPE_AGE,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,ECIG3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used e-cigarettes or other vaping devices on a regular basis,,Age first used e-cigarettes or other vaping devices on a regular basis,"Age first used e-cigarettes or other vaping devices on a regular basis, Never used",SrvSAS_ECigNeverReg_v1r0,ECIG3,Num,2,,44 = Never,,,,,,,,,,11/23/21,,ECIG3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you use e-cigarettes or other vaping devices for nicotine or tobacco now? ,Use e-cigarettes or other vaping devices now,SrvSAS_ECigNow_v1r0,ECIG4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some day",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you used e-cigarettes or other vaping devices for nicotine or tobacco?,Last used e-cigarettes or other vaping devices,SrvSAS_ECigUseL_v1r0,ECIG5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you used e-cigarettes or other vaping devices for nicotine or tobacco?,Days used e-cigarettes or other vaping devices past 30 days,SrvSAS_ECiguseDays30_v1r0,ECIG6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last use e-cigarettes or other vaping devices for nicotine or tobacco?,Months ago last used e-cigarettes or other vaping devices,SrvSAS_ECigUseMoL_v1r0,ECIG7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever use e-cigarettes or other vaping devices for nicotine or tobacco every day?","Use e-cigarettes or other vaping devices every day, months",SrvSAS_ECigUseDaysMo_v1r0,ECIG7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you use e-cigarettes or other vaping devices for nicotine or tobacco in a usual month? ","How many days used e-cigarettes or other vaping devices, usual month",SrvSAS_ECigDaysUse_v1r0,ECIG7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last used e-cigarettes or other vaping devices for nicotine or tobacco?,Age last used e-cigarettes or other vaping devices,SrvSAS_AgeECigUseL_v1r0,ECIG8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever use e-cigarettes or other vaping devices for nicotine or tobacco every day?","Use e-cigarettes or other vaping devices every day, age last used",SrvSAS_ECigEDAgeUseL_v1r0,ECIG8C,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used- During that time, how many days (1 to 30) did you use e-cigarettes or other vaping devices for nicotine or tobacco in a usual month?","How many days used  e-cigarettes or other vaping devices, age last used",SrvSAS_ECigUseDaysAgeL_v1r0,ECIG8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [use/used] e-cigarettes or other vaping devices, what is the total amount of time you [use/used] them per day? ",Total amount of time used e-cigarettes or other vaping devices per day,SrvSAS_ECigTotalTm_v1r0,ECIG9A,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever use e-cigarettes or other vaping devices for nicotine or tobacco every day?,Ever use e-cigarettes or other vaping devices every day,SrvSAS_ECigEveryDay_v1r0,ECIG9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped using e-cigarettes or other vaping devices for nicotine or tobacco every day? ,Age stopped using e-cigarettes or other vaping devices every day,SrvSAS_AgeStopECig_v1r0,ECIG9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily user of e-cigarettes or other vaping devices for nicotine or tobacco, what is the total amount of time you used them per day?",Total amount of time used e-cigarettes or other vaping devices per day when daily user,SrvSAS_TotalTmECig_v1r0,ECIG9C,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,What brand and model of device [do/did] you use most often?,Device Brand/Model,SrvSAS_DeviceBrand_v1r0,ECIG10,Char,,,N/A,,N/A,No,No,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X] to age [Y / 17], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, Age [X] to age [Y / 17]",SrvSAS_ECigTm17_v1r0,ECIGLIFEA,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 18] to age [Y / 24], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, Age [X / 18] to age [Y / 24]",SrvSAS_ECigTm1824_v1r0,ECIGLIFEB,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 25] to age [Y / 29], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 25] to age [Y / 29]",SrvSAS_ECigTm2529_v1r0,ECIGLIFEC,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 30] to age [Y / 39 / current age], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 30] to age [Y / 39 / current age]",SrvSAS_ECigTm3039_v1r0,ECIGLIFED,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 40] to age [Y / 49 / current age], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 40] to age [Y / 49 / current age]",SrvSAS_ECigTm4049_v1r0,ECIGLIFEE,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 50] to age [Y / 59 / current age], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 50] to age [Y / 59 / current age]",SrvSAS_ECigTm5059_v1r0,ECIGLIFEF,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 60] to age [Y / 69 / current age], what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 60] to age [Y / 69 / current age]",SrvSAS_ECigTm6069,ECIGLIFEG,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used e-cigarettes or other vaping devices for nicotine or tobacco when you were age [X / 70] and older, what is the total amount of time you used them per day?  ","How much time e-cigarettes or other vaping devices used, [X / 70] and older",SrvSAS_ECigTm70_v1r0,ECIGLIFEH,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
