Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
17,17,192505768,Recruitment,883203566,Sign in,,,,,,,,119643471,Sanford Health Reported Race,,,SF Reported Race,RcrtSI_SHRace_v1r0,,Num,2,232334767,0=African American/Black,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_119643471),,,
18,18,,,,,,,,,,,,,,,,,,,,,211228524,1=American Indian or Alaskan Native,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,308427446,2=Asian,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,635279662,3=Caucasian/White,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,432722256,4=Hispanic/Latino/Black,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,232663805,5=Hispanic/Latino/Declined,,,,,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,,,785578696,6=Hispanic/Latino/White,,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,,200929978,7=Native Hawaiian,,,,,,,,,,,,,
25,25,,,,,,,,,,,,,,,,,,,,,490725843,8=Native Hawaiian/Pacific Islander,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,,,,,,965998904,9=Pacific Islander,,,,,,,,,,,,,
27,27,,,,,,,,,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,,
28,28,,,,,,,,,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,,
29,29,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
30,30,192505768,Recruitment,883203566,Sign in,,,,,,,,538553381,Sanford Health Reported Ethnicity,,,SF Reported Eth,RcrtSI_SHEthnicity_v1r0,,Num,1,628733063,0=Hispanic or Latino,,For Sanford Health,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_538553381),,,
31,31,,,,,,,,,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,,
32,32,,,,,,,,,,,,,,,,,,,,,986445321,66=Blank,,,,,,,,,,,,,
33,33,,,,,,,,,,,,,,,,,,,,,746038746,99=Declined,,,,,,,,,,,,,
34,34,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
35,35,192505768,Recruitment,883203566,Sign in,,,,,,,,684926335,Henry Ford Health System Reported Race,,,HFH Reported Race,RcrtSI_HFHSRace_v1r0,,Num,2,232334767,0=African American/Black,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_684926335),,,
36,36,,,,,,,,,,,,,,,,,,,,,635279662,1=Caucasian/White,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,,,401335456,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)",,,,,,,,,,,,,
38,38,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
39,39,192505768,Recruitment,883203566,Sign in,,,,,,,,527823810,Henry Ford Health System Reported Ethnicity,,,HFH Reported Eth,RcrtSI_HFHSEthnicity_v1r0,,Num,2,628733063,0=Hispanic or Latino,,For Henry Ford HS,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_527823810),,,
40,40,,,,,,,,,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
42,42,192505768,Recruitment,883203566,Sign in,,,,,,New,6/24/24,253532712,BSWH Reported Race/Ethnicity,,,BSWH Reported R/E,RcrtSI_BSWHRaceEth_v1r0,,Num,2,723775357,0=White non-Hispanic,,For BSWH,No,,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_TBD),,,
43,43,,,,,,,,,,,,,,,,,,,,,153444133,1=Black non-Hispanic,,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,,,572474909,2=Hispanic/Latino,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,308427446,3=Asian,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,,,,,,,,211228524,4=American Indian or Alaskan Native,,,,,,,,,,,,,
47,47,,,,,,,,,,,,,,,,,,,,,277568192,5=Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,
48,48,,,,,,,,,,,,,,,,,,,,,611398522,6=Multi-racial,,,,,,,,,,,,,
49,49,,,,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,,
50,50,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
51,51,192505768,Recruitment,883203566,Sign in,,,,,,,,706256705,Site reported sex,,,Site Reported Sex,RcrtSI_Sex_v1r0,,Num,1,536341288,0 = Female,,Yes,No,,,Recruitment Data Dictionary,Yes,No,2/2/22,Participants Table Not nested (state_d_706256705),,,
52,52,,,,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,,
53,53,,,,,,,,,,,,,,,,,,,,,830573274,2 = Intersex or other- Site Reported,,,,,,,,,,,,Note for Nicole to check in her email. Concept IDs in Module 1 and Master Dictionary are diff,
54,54,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
55,55,192505768,Recruitment,883203566,Sign in,,,,,,,,435027713,Henry Ford reported sex,,,HFH Reported Sex,RcrtSI_HFHS_Sex_v1r0,,Num,1,536341288,0 = Female,,For HFHS,No,,,Recruitment Data Dictionary,Yes,No,3/21/24,Participants Table Not nested (state_d_435027713),,,
56,56,,,,,,,,,,,,,,,,,,,,,654207589,1 = Male,,,,,,,,,,,,,
57,57,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
58,58,192505768,Recruitment,883203566,Sign in,,,,,,,,749475364,Eligibility algorithm version,,,Elig Algorithm Vers,RcrtSI_EligibilityVer_v1r0,,Char,25,,N/A,,Yes,No,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_749475364),,,
59,59,192505768,Recruitment,883203566,Sign in,,,,,,,,477091792,IHCS Membership Status,,,IHCS Member Status,RcrtSI_MemberStat_v1r0,,Num,1,939572698,0=Member of IHCS Health Plan,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_477091792),,,
60,60,,,,,,,,,,,,,,,,,,,,,512786135,1=Non-Member IHCS Patient,,,,,,,,,,,,,
61,61,,,,,,,,,,,,,,,,,,,,,582670006,2=Member and Patient of IHCS Health Plan,,,,,,,,,,,,,
62,62,192505768,Recruitment,883203566,Sign in,,,,,,Revised,8/21/23,667474224,Campaign Type,,,Campaign,RcrtSI_CampaignType_v1r0,,Num,1,926338735,0=Random,,Yes,No,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,Recruitment Data Dictionary,Yes,No,8/21/23,Participants Table Not nested (state_d_667474224),,,
63,63,,,,,,,,,,,,,,,,,,,,,348281054,1=Screening appointment,,,,"For passive recruits, 88 = None of the above, should be used when campaign type is not available.",,,,,,,,,
64,64,,,,,,,,,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,,,
68,68,,,,,,,,,,,,,,,,,,,,,682916147,6=Post-Screening Selection,,,,,,,,,,,,,
69,69,,,,,,,,,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,,,
70,70,,,,,,,,,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,,,
71,71,,,,,,,,,,,,,,,,,,,,,208952854,9=Research Registry,,,,,,,,,,,,,
72,72,,,,,,,,,,,,,,,,,,,,,296312382,10=Pop up,,,,,,,,,,,,,
73,73,,,,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,,
74,74,,,,,,,,,,,,,,,,,,,,,398561594,88=None of these apply,,,,,,,,,,,,,
75,75,192505768,Recruitment,883203566,Sign in,,,,,,,,481139103,PIN/Token Workflow for HP,,,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,910533468,0 = Letter without PIN,,Yes for HP,No,Going forward (from 2/21/23) HP will include PINs in all their recruitment letters. This means they won't be meaningfully using this variable we established for PIN vs No PIN groups from HP going forward.,,Recruitment Data Dictionary,Yes,No,4/13/23,Participants Table Not nested (state_d_481139103),,,Removed Special Characters
76,76,,,,,,,,,,,,,,,,,,,,,456806539,1 = Letter with PIN,,,,,,,,,,,,,
77,77,192505768,Recruitment,883203566,Sign in,,,,,,,,158291096,Pre-consent Opt-out,,,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,104430631,0=No,,No,No,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,Participants Table Not nested (state_d_158291096),,,
78,78,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
79,79,192505768,Recruitment,883203566,Sign in,,,,,,,,697256759,Date/time for pre-consent opt-out,,,D/T Pre-consent Opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,No,No,This is autoset by the system,,Master Data Dictionary,Yes,No,3/20/23,Participants Table Not nested (state_d_697256759),,,
80,80,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,196038514,I am not interested,,,Not Interested,RcrtSI_OptOut_v1r0_inter,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_196038514,,,
81,81,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
82,82,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,873405723,I am too busy to join,,,Too busy/Stressed,RcrtSI_OptOut_v1r0_busy,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_873405723,,,
83,83,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
84,84,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,517101990,I am concerned about my privacy,,,Privacy Concerns,RcrtSI_OptOut_v1r0_priv,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_517101990,,Question text also shows up for HdRef_Privacy_v1r0,
85,85,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
86,86,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,347614743,I have received too many contacts from the study,,,Too Many Contacts,RcrtSI_OptOut_v1r0_contacts,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_347614743,,,
87,87,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
88,88,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,535928798,I am not able to complete the study activities online,,,Unable To Do Activites Online,RcrtSI_OptOut_v1r0_able,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_535928798,,Question text also for HdRef_Online_v1r0,
89,89,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
90,90,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,897366187,I do not want to join the study for other reasons,,,Oth,RcrtSI_OptOut_v1r0_other,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_897366187,,,
91,91,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
92,92,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,415693436,Please specify __________,,,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_415693436,,,
93,93,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,719451909,I do not think the research topic is important/I am not interested in the topic,,,Rsrch Topic Unimportant/Not Interested in Topic,RcrtSI_OptOut_v1r0_impt,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_719451909,,,
94,94,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
95,95,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,377633816,I do not want to participate in research,,,Not Interested In Rsch,RcrtSI_OptOut_v1r0_partic,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_377633816,,,
96,96,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
97,97,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,211023960,I do not want to be in a long-term study,,,Not Interested In Long-Term Study,RcrtSI_OptOut_v1r0_term,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_211023960,,,
98,98,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
99,99,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,209509101,I think the study takes too much time/asks for too much,,,Too Much Time/Asks For Too Much,RcrtSI_OptOut_v1r0_time,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_209509101,,,
100,100,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
101,101,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,363026564,I do not want to give biological samples,,,Not Interested In Giving Samples,RcrtSI_OptOut_v1r0_samples,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_363026564,,,
102,102,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
103,103,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,405352246,I think the payment or benefit to participate is not great enough,,,Compensation Too Low,RcrtSI_OptOut_v1r0_comp,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_405352246,,,
104,104,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
105,105,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,755545718,I do not think I am eligible,,,Think Not Eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_755545718,,,
106,106,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
107,107,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,831137710,I am opposed to genetic testing,,,Opposed To Gen Testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_831137710,,,
108,108,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
109,109,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,496935183,I am too sick/my health is too poor to join,,,Too Sick,RcrtSI_OptOut_v1r0_health,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_496935183,,,
110,110,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
111,111,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,491099823,I do not have reliable access to the internet/a device,,,Unreliable Internet/Device,RcrtSI_OptOut_v1r0_access,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,1/6/23,Participants Table Nested structure: state_d_706283025_d_491099823,,,
112,112,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
113,113,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,836460125,I do not like to do things online,,,Dislike Online Activities,RcrtSI_OptOut_v1r0_online,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_836460125,,Question text also for HdRef_DislikeOnline_v1r0,
114,114,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
115,115,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,163534562,I am worried the study might find out something concerning about me,,,Concerned Study Will Find Something Bad,RcrtSI_OptOut_v1r0_concern,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_163534562,,,
116,116,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
117,117,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,331787113,I do not want to provide information online,,,Against Giving Info Online,RcrtSI_OptOut_v1r0_PrivacyA,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_331787113,,,
118,118,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
119,119,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,705732561,I do not want to complete surveys,,,Don't Want To Do Suvryes,RcrtSI_OptOut_v1r0_PrivacyB,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_705732561,,,
120,120,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
121,121,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,381509125,I do not want to provide access to medical history information or diagnoses,,,Against Giving Med Hx Info or Dx,RcrtSI_OptOut_v1r0_PrivacyC,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_381509125,,,
122,122,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
123,123,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,497530905,I do not trust the government,,,Don't Trust Gov,RcrtSI_OptOut_v1r0_PrivacyD,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_497530905,,Question text also for HdRef_PrivacyB_v1r0,
124,124,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
125,125,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,627995442,I do not trust research/researchers,,,Don't Trust Rsrch,RcrtSI_OptOut_v1r0_PrivacyE,,Num,1,104430631,0=No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_627995442,,Question text for HdRef_PrivacyC_v1r0,
126,126,,,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,,
